# 角色主表（Tab 分隔）。kind 写死身份；title 为空则 UI 只显示姓名；harmless=1 为无害正常人(错认不算失败,N2)。
charId	artFolder	dialogueId	name_en	name_zh	kind	title_en	title_zh	harmless
lin_cai	Characters/lin_cai	generic	Lin Cai	林采	DouBao	PR	公关	
wang_jianguo	Characters/wang_jianguo	generic	Wang Jianguo	王建国	Normal	CEO	老板	1
chen_wei	Characters/chen_wei	generic	Chen Wei	陈维	FrameDrop	Ops	运维	
su_qing	Characters/su_qing	generic	Su Qing	苏晴	Normal	HR	人事	
shrink_girl	Characters/shrink_girl	generic	Schoolgirl	女学生	Deflate			
fang_xiao	Characters/fang_xiao	generic	Fang Xiao	方晓	Normal	Staff	职员	
wu_ang	Characters/wu_ang	generic	Wu Ang	吴昂	Stitched	Algorithm	算法	
lu_yuan	Characters/lu_yuan	generic	Lu Yuan	陆远	Normal	Dev	开发	
wei_daye	Characters/wei_daye	generic	Uncle Wei	魏大爷	SkinDog			
an_an	Characters/an_an	generic	An'an	安安	Normal			
han_lu	Characters/han_lu	generic	Han Lu	韩露	SixFinger	Reception	前台	
gu_ying	Characters/gu_ying	generic	Gu Ying	顾映	LookAway	Brand	品牌	
cheng_shu	Characters/cheng_shu	generic	Cheng Shu	程书	PhotoMismatch	Compliance	合规	
