# NPC 对话模式表。mode: phase / count / static
charId	mode	index	dialogueId
lin_cai	phase	1	lin_p1
lin_cai	phase	2	lin_p2
lin_cai	phase	3	lin_p3
wang_jianguo	count	1	boss_c1
wang_jianguo	count	2	boss_c2
wang_jianguo	count	3	boss_c3
su_qing	count	1	hr_c1
su_qing	count	2	hr_c2
su_qing	count	3	hr_c3
su_qing	count	4	hr_c4
fang_xiao	count	1	tired_c1
fang_xiao	count	2	tired_c2
fang_xiao	count	3	tired_c3
lu_yuan	count	1	eyes_c1
lu_yuan	count	2	eyes_c2
lu_yuan	count	3	eyes_c3
wei_daye	phase	1	uncle_p1
wei_daye	phase	2	uncle_p2
wei_daye	phase	3	uncle_p3
an_an	count	1	girl_dots
an_an	count	2	girl_dots
an_an	count	3	girl_dots
an_an	count	4	girl_dots
an_an	count	5	girl_insult
chen_wei	count	1	chen_c1
chen_wei	count	2	chen_c2
chen_wei	count	3	chen_c3
shrink_girl	count	1	zhao_c1
shrink_girl	count	2	zhao_c2
shrink_girl	count	3	zhao_c3
wu_ang	count	1	wu_c1
wu_ang	count	2	wu_c2
wu_ang	count	3	wu_c3
han_lu	count	1	han_c1
han_lu	count	2	han_c2
han_lu	count	3	han_c3
gu_ying	count	1	gu_c1
gu_ying	count	2	gu_c2
gu_ying	count	3	gu_c3
cheng_shu	count	1	cheng_c1
cheng_shu	count	2	cheng_c2
cheng_shu	count	3	cheng_c3
