# 对话 UI 立绘映射表（Tab 分隔）。portraitId -> imagePath(相对 Art/)。
# <charId>_neutral 供 dialogue.txt 里空/generic 的行按说话人回退（见 GameContent.ResolveDialogue）。
portraitId	imagePath
lin_neutral	Portraits/lin_cai/neutral
lin_smile	Portraits/lin_cai/neutral
lin_think	Portraits/lin_cai/neutral
doubao_calm	Portraits/lin_cai/neutral
doubao_glitch	Portraits/lin_cai/neutral
boss_neutral	Portraits/wang_jianguo/neutral
boss_stern	Portraits/wang_jianguo/neutral
hr_phone	Portraits/su_qing/neutral
fang_tired	Portraits/fang_xiao/neutral
fang_dazed	Portraits/fang_xiao/neutral
lu_eyes	Portraits/lu_yuan/neutral
lu_pain	Portraits/lu_yuan/neutral
girl_blank	Portraits/an_an/neutral
uncle_normal	Portraits/wei_daye/neutral
uncle_anxious	Portraits/wei_daye/anxious
uncle_horror	Portraits/wei_daye/horror
lin_cai_neutral	Portraits/lin_cai/neutral
wang_jianguo_neutral	Portraits/wang_jianguo/neutral
chen_wei_neutral	Portraits/chen_wei/neutral
su_qing_neutral	Portraits/su_qing/neutral
shrink_girl_neutral	Portraits/shrink_girl/neutral
fang_xiao_neutral	Portraits/fang_xiao/neutral
wu_ang_neutral	Portraits/wu_ang/neutral
lu_yuan_neutral	Portraits/lu_yuan/neutral
wei_daye_neutral	Portraits/wei_daye/neutral
an_an_neutral	Portraits/an_an/neutral
han_lu_neutral	Portraits/han_lu/neutral
gu_ying_neutral	Portraits/gu_ying/neutral
cheng_shu_neutral	Portraits/cheng_shu/neutral
